,tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
65,Languages,4002,Vanderbilt University,Jose,,Aznar,1106974,46,good,TEACHER,PROFESSOR,4.3
66,Religion,4002,Vanderbilt University,Annalisa,,Azzoni,1085575,9,good,TEACHER,PROFESSOR,3.8
67,Engineering,4002,Vanderbilt University,Justin,,Baba,2360072,4,good,TEACHER,PROFESSOR,3.5
68,English,4002,Vanderbilt University,Beau,,Baca,952463,8,good,TEACHER,PROFESSOR,4.3
69,English,4002,Vanderbilt University,Beth Anne,,Bachmann,483882,17,good,TEACHER,PROFESSOR,4.4
70,Chemistry,4002,Vanderbilt University,Brian,,Bachmann,519590,15,good,TEACHER,PROFESSOR,3.5
71,Human Development,4002,Vanderbilt University,John,,Bachmann,838609,16,good,TEACHER,PROFESSOR,3.8
72,Psychology,4002,Vanderbilt University,Jo-Anne,,Bachorowski,353179,33,average,TEACHER,PROFESSOR,3.3
73,Biology,4002,Vanderbilt University,Hemant,,Badgandi,2366308,18,average,TEACHER,PROFESSOR,2.8
74,Languages,4002,Vanderbilt University,Marcio,,Bahia,1424588,14,good,TEACHER,PROFESSOR,4.9
75,Management,4002,Vanderbilt University,John,,Bailey,1454368,1,good,TEACHER,PROFESSOR,4.5
76,Management,4002,Vanderbilt University,Jack,,Bailey,1454371,2,good,TEACHER,PROFESSOR,5.0
77,Languages,4002,Vanderbilt University,Cara,J.,Bailey,2391934,0,zero,TEACHER,PROFESSOR,N/A
78,English,4002,Vanderbilt University,Houston,,Baker,996636,10,average,TEACHER,PROFESSOR,3.2
79,Religion,4002,Vanderbilt University,Kat,,Baker,1306113,3,good,TEACHER,PROFESSOR,4.5
80,Economics,4002,Vanderbilt University,Richard,,Baker,1931314,7,poor,TEACHER,PROFESSOR,1.5
81,Psychology,4002,Vanderbilt University,Pooja,,Balaram,1812841,0,zero,TEACHER,PROFESSOR,N/A
82,Computer Science,4002,Vanderbilt University,Daniel,,Balasubramanian,2359916,7,good,TEACHER,PROFESSOR,4.7
83,Mathematics,4002,Vanderbilt University,Sahana,,Balasubramanya,2091050,7,good,TEACHER,PROFESSOR,3.9
84,Human Development,4002,Vanderbilt University,Ryan,,Balch,2042453,3,good,TEACHER,PROFESSOR,5.0
85,Religion,4002,Vanderbilt University,Lewis,,Baldwin,425918,13,good,TEACHER,PROFESSOR,4.4
86,Chemistry,4002,Vanderbilt University,Andrzej,,Balinski,1646480,2,average,TEACHER,PROFESSOR,2.8
87,Business,4002,Vanderbilt University,Clifford,,Ball,1118577,1,poor,TEACHER,PROFESSOR,1.0
88,Social Science,4002,Vanderbilt University,Dale,,Ballou,545314,12,poor,TEACHER,PROFESSOR,2.2
89,Sociology,4002,Vanderbilt University,Joe,,Bandy,2583791,1,good,TEACHER,PROFESSOR,5.0
90,Sociology,4002,Vanderbilt University,Pallavi ,,Banerjee ,1933660,3,average,TEACHER,PROFESSOR,3.2
91,Languages,4002,Vanderbilt University,Kaleigh,,Bangor,2057274,6,good,TEACHER,PROFESSOR,4.8
92,Engineering,4002,Vanderbilt University,Rizia,,Bardhan,2355834,2,good,TEACHER,PROFESSOR,5.0
93,African-American Studies,4002,Vanderbilt University,Brother,,Bari,2628667,1,good,TEACHER,PROFESSOR,5.0
94,Engineering,4002,Vanderbilt University,Abhijit,,Barman,1431782,1,good,TEACHER,PROFESSOR,5.0
95,Human Development,4002,Vanderbilt University,Sandra,,Barnes,1720845,13,poor,TEACHER,PROFESSOR,2.3
96,Engineering,4002,Vanderbilt University,Joel,,Barnett,325651,28,good,TEACHER,PROFESSOR,3.7
97,Engineering,4002,Vanderbilt University,Hiba,,Baroud,2652206,1,good,TEACHER,PROFESSOR,5.0
98,Languages,4002,Vanderbilt University,Tracy,,Barrett,140793,17,good,TEACHER,PROFESSOR,4.2
99,Languages,4002,Vanderbilt University,Belkis,,Barrios,1712730,6,good,TEACHER,PROFESSOR,4.3
100,Management,4002,Vanderbilt University,Bruce,,Barry,1122797,1,average,TEACHER,PROFESSOR,3.0
101,Business,4002,Vanderbilt University,Bruce,,Barry,2136857,0,zero,TEACHER,PROFESSOR,N/A
102,English,4002,Vanderbilt University,Robert,,Barsky,558815,16,good,TEACHER,PROFESSOR,4.6
103,Political Science,4002,Vanderbilt University,Larry,,Bartels,2449872,1,poor,TEACHER,PROFESSOR,1.0
104,Women's Studies,4002,Vanderbilt University,Faith,,Barter,2189365,5,good,TEACHER,PROFESSOR,4.6
105,Mechanical Engineering,4002,Vanderbilt University,Eric,,Barth,2532174,1,poor,TEACHER,PROFESSOR,2.0
106,Education,4002,Vanderbilt University,Erin,,Barton,2397664,0,zero,TEACHER,PROFESSOR,N/A
107,Music,4002,Vanderbilt University,Greg,,Barz,503849,35,good,TEACHER,PROFESSOR,3.8
108,Human Development,4002,Vanderbilt University,Ur,,Barzel,2618291,1,good,TEACHER,PROFESSOR,5.0
109,Human Development,4002,Vanderbilt University,Rosario,,Basay,1262653,6,good,TEACHER,PROFESSOR,3.7
110,Biology,4002,Vanderbilt University,Steven,,Baskauf,457342,60,good,TEACHER,PROFESSOR,3.9
111,Engineering,4002,Vanderbilt University,Prodyot,,Basu,277142,16,average,TEACHER,PROFESSOR,2.7
112,Economics,4002,Vanderbilt University,Patrick,,Bateman,654104,5,good,TEACHER,PROFESSOR,4.4
113,Engineering,4002,Vanderbilt University,Carlos,A. Silvera,Batista,2290050,4,good,TEACHER,PROFESSOR,3.5
114,Engineering,4002,Vanderbilt University,Franz,,Baudenbacher,2029238,6,average,TEACHER,PROFESSOR,2.5
115,Education,4002,Vanderbilt University,Steve,,Baum,1061347,21,good,TEACHER,PROFESSOR,4.4
116,English,4002,Vanderbilt University,Max,,Baumkel,2083756,2,poor,TEACHER,PROFESSOR,1.2
117,Economics,4002,Vanderbilt University,Siraj,,Bawa,2125503,0,zero,TEACHER,PROFESSOR,N/A
118,Economics,4002,Vanderbilt University,Brian,,Beach,2587311,3,good,TEACHER,PROFESSOR,4.7
119,English,4002,Vanderbilt University,Joshua,,Beall,1505307,5,good,TEACHER,PROFESSOR,3.6
120,Languages,4002,Vanderbilt University,Caroline,,Beard,2225060,3,good,TEACHER,PROFESSOR,5.0
121,Communication,4002,Vanderbilt University,Vanessa,,Beasley,1199927,6,good,TEACHER,PROFESSOR,4.8
122,Philosophy,4002,Vanderbilt University,Joel,,Beaupre,912290,4,good,TEACHER,PROFESSOR,4.5
123,Computer Science,4002,Vanderbilt University,John,,Beck,2456715,4,poor,TEACHER,PROFESSOR,2.3
124,Social Science,4002,Vanderbilt University,George,,Becker,117939,43,good,TEACHER,PROFESSOR,4.1
125,Anthropology,4002,Vanderbilt University,Dominique,,Behague,1892039,4,good,TEACHER,PROFESSOR,4.9
126,English,4002,Vanderbilt University,Vereen,,Bell,197239,24,good,TEACHER,PROFESSOR,3.9
127,Religion,4002,Vanderbilt University,Dianna,,Bell,2054703,4,good,TEACHER,PROFESSOR,4.4
128,Engineering,4002,Vanderbilt University,Leon,,Bellan,2191089,11,average,TEACHER,PROFESSOR,2.5
129,English,4002,Vanderbilt University,Diana,,Bellonby,1170050,8,good,TEACHER,PROFESSOR,4.5
130,Psychology,4002,Vanderbilt University,Allison,,Bender,2181105,1,good,TEACHER,PROFESSOR,4.0
131,Anthropology,4002,Vanderbilt University,Jada,,Benn Torres,2251387,8,good,TEACHER,PROFESSOR,3.5
132,Geology,4002,Vanderbilt University,Ralf,,Bennartz,2213840,1,average,TEACHER,PROFESSOR,3.0
133,Economics,4002,Vanderbilt University,Christopher,,Bennett,1267861,22,average,TEACHER,PROFESSOR,2.7
134,Communication,4002,Vanderbilt University,Jeff,,Bennett,2483545,5,good,TEACHER,PROFESSOR,4.6
135,Psychology,4002,Vanderbilt University,Stephen,,Benning,1114440,6,average,TEACHER,PROFESSOR,3.4
136,Biology,4002,Vanderbilt University,Amanda,,Benson,773065,45,good,TEACHER,PROFESSOR,3.5
137,Political Science,4002,Vanderbilt University,Brett,,Benson,911597,40,good,TEACHER,PROFESSOR,3.8
138,Engineering,4002,Vanderbilt University,David,,Berezov,1083648,13,good,TEACHER,PROFESSOR,3.6
139,Computer Science,4002,Vanderbilt University,Matthew,,Berger,2411266,3,average,TEACHER,PROFESSOR,3.3
140,Languages,4002,Vanderbilt University,Francille,,Bergquist,399842,9,good,TEACHER,PROFESSOR,4.2
141,Languages,4002,Vanderbilt University,Susan,,Berk-Seligson,699558,4,good,TEACHER,PROFESSOR,4.4
142,Science,4002,Vanderbilt University,Andreas,,Berlind,1568344,3,good,TEACHER,PROFESSOR,4.7
143,Engineering,4002,Vanderbilt University,John,,Bers,353071,27,good,TEACHER,PROFESSOR,3.7
144,Mathematics,4002,Vanderbilt University,Nathan,,Bertsch,1536861,1,good,TEACHER,PROFESSOR,4.0
145,History,4002,Vanderbilt University,Michael,,Bess,137052,66,good,TEACHER,PROFESSOR,4.5
146,Human Development,4002,Vanderbilt University,Kimberly,,Bess,1036368,24,average,TEACHER,PROFESSOR,2.8
147,TA,4002,Vanderbilt University,Louis,,Betty,871435,2,average,TEACHER,PROFESSOR,3.2
148,Nursing,4002,Vanderbilt University,Linda,,Beuscher ,1983019,1,poor,TEACHER,PROFESSOR,1.0
149,Engineering,4002,Vanderbilt University,Bryan,,Beyer,2191098,1,good,TEACHER,PROFESSOR,5.0
150,English,4002,Vanderbilt University,Piyali,,Bhattacharya,2216278,6,good,TEACHER,PROFESSOR,5.0
151,Engineering,4002,Vanderbilt University,Bharat,,Bhuva,133390,61,good,TEACHER,PROFESSOR,3.5
152,Music Performance,4002,Vanderbilt University,Tucker,,Biddlecombe,1752716,8,good,TEACHER,PROFESSOR,4.0
153,Music,4002,Vanderbilt University,Emelyne,,Bingham,631396,11,good,TEACHER,PROFESSOR,4.5
154,Medicine,4002,Vanderbilt University,Awadh,,Binhazim,518168,3,good,TEACHER,PROFESSOR,4.0
155,Astronomy,4002,Vanderbilt University,Jonathan,,Bird,2662761,1,good,TEACHER,PROFESSOR,5.0
156,English,4002,Vanderbilt University,Laura,,Birdsall,1955661,8,good,TEACHER,PROFESSOR,4.7
157,English,4002,Vanderbilt University,Destiny,,Birdsong,2053430,2,good,TEACHER,PROFESSOR,4.8
158,Engineering,4002,Vanderbilt University,Julie,,Birdsong,2579860,2,good,TEACHER,PROFESSOR,5.0
159,Mathematics,4002,Vanderbilt University,Marcel,,Bischoff,2005995,1,good,TEACHER,PROFESSOR,4.0
160,Engineering,4002,Vanderbilt University,Gautam,,Biswas,1040800,5,average,TEACHER,PROFESSOR,2.5
161,Anthropology,4002,Vanderbilt University,Carwil ,,Bjork-James,2058804,14,good,TEACHER,PROFESSOR,3.8
162,Anthropology,4002,Vanderbilt University,Sophie,,Bjork-James,2480866,4,good,TEACHER,PROFESSOR,5.0
163,Engineering,4002,Vanderbilt University,Jeffrey,,Black,1220002,2,good,TEACHER,PROFESSOR,3.5
164,History,4002,Vanderbilt University,David,,Blackbourn ,1942375,7,good,TEACHER,PROFESSOR,3.8
165,Business,4002,Vanderbilt University,Joseph,D,Blackburn,2136858,0,zero,TEACHER,PROFESSOR,N/A
166,History,4002,Vanderbilt University,Richard,,Blackett,377915,5,good,TEACHER,PROFESSOR,4.0
167,Psychology,4002,Vanderbilt University,Randolph,,Blake,1506569,4,good,TEACHER,PROFESSOR,4.8
168,Education,4002,Vanderbilt University,Karen,,Blankenship,2198098,1,good,TEACHER,PROFESSOR,5.0
169,Art,4002,Vanderbilt University,Alexandra,,Blau,2481926,2,good,TEACHER,PROFESSOR,4.5
170,Business,4002,Vanderbilt University,Jesse,A,Blocher,2136860,1,poor,TEACHER,PROFESSOR,2.0
171,Art History,4002,Vanderbilt University,Jay,,Bloom,832618,19,good,TEACHER,PROFESSOR,4.6
172,Science,4002,Vanderbilt University,Jeffrey,,Blume,2644552,0,zero,TEACHER,PROFESSOR,N/A
173,Mathematics,4002,Vanderbilt University,Nick,,Boatman,1560799,1,poor,TEACHER,PROFESSOR,2.0
174,Computer Science,4002,Vanderbilt University,Robert,,Bodenheimer,464447,8,poor,TEACHER,PROFESSOR,1.6
175,Medicine,4002,Vanderbilt University,Frank,,Boehm,414308,6,good,TEACHER,PROFESSOR,4.2
176,Mathematics,4002,Vanderbilt University,Anna Marie,,Bohmann,2082073,9,good,TEACHER,PROFESSOR,4.7
177,Communication,4002,Vanderbilt University,Kim,,Bohyeong,2478187,3,good,TEACHER,PROFESSOR,4.3
178,Finance,4002,Vanderbilt University,Nicolas,P.B.,Bollen,2136862,0,zero,TEACHER,PROFESSOR,N/A
179,Economics,4002,Vanderbilt University,Eric,,Bond,399433,7,good,TEACHER,PROFESSOR,4.2
180,Engineering,4002,Vanderbilt University,Ab,,Bonds,396276,20,good,TEACHER,PROFESSOR,3.9
181,Management,4002,Vanderbilt University,Laura,,Booker,2562789,1,good,TEACHER,PROFESSOR,5.0
182,Political Science,4002,Vanderbilt University,William,,Booth,574288,37,good,TEACHER,PROFESSOR,4.2
183,Psychology,4002,Vanderbilt University,Amy,,Booth,2305484,12,good,TEACHER,PROFESSOR,4.1
184,Biology,4002,Vanderbilt University,Seth,,Bordenstein,1485623,37,good,TEACHER,PROFESSOR,4.3
185,Languages,4002,Vanderbilt University,Raquelle,,Bostow,2329216,2,good,TEACHER,PROFESSOR,4.5
186,Languages,4002,Vanderbilt University,Tatiana,,Botero,215546,35,average,TEACHER,PROFESSOR,3.3
187,Mathematics,4002,Vanderbilt University,Simone,,Bova,1381330,5,good,TEACHER,PROFESSOR,3.5
188,Biomedical,4002,Vanderbilt University,Audrey,,Bowden,2652217,1,average,TEACHER,PROFESSOR,3.0
189,Human Development,4002,Vanderbilt University,Corey,,Bower,1667082,1,good,TEACHER,PROFESSOR,4.0
190,Engineering,4002,Vanderbilt University,Alan,,Bowers,351310,26,good,TEACHER,PROFESSOR,3.6
191,English,4002,Vanderbilt University,Charles,,Bowie,1678028,1,good,TEACHER,PROFESSOR,4.0
192,History,4002,Vanderbilt University,Tim,,Boyd,343216,17,good,TEACHER,PROFESSOR,4.7
193,English,4002,Vanderbilt University,John,,Bradley,1889645,8,good,TEACHER,PROFESSOR,4.3
194,English,4002,Vanderbilt University,Kira,,Braham,2464803,1,good,TEACHER,PROFESSOR,4.0
195,Biology,4002,Vanderbilt University,Cynthia,,Brame,1858751,18,good,TEACHER,PROFESSOR,4.5
196,Mathematics,4002,Vanderbilt University,Michael,,Brandenbursky,1577065,14,average,TEACHER,PROFESSOR,3.1
197,Engineering,4002,Vanderbilt University,David,J,Braun,2626060,2,good,TEACHER,PROFESSOR,3.5
198,Human Development,4002,Vanderbilt University,John,,Braxton,762486,7,good,TEACHER,PROFESSOR,4.6
199,Philosophy,4002,Vanderbilt University,Garrett,,Bredeson,1632757,2,good,TEACHER,PROFESSOR,4.8
200,Philosophy,4002,Vanderbilt University,Jonathan,,Bremer,1040192,8,good,TEACHER,PROFESSOR,4.2
201,English,4002,Vanderbilt University,Gabriel,,Briggs,1397356,28,good,TEACHER,PROFESSOR,4.7
202,Languages,4002,Vanderbilt University,Jerome,,Brillaud,1707335,2,good,TEACHER,PROFESSOR,5.0
203,History,4002,Vanderbilt University,Brandi,,Brimmer,1010988,14,average,TEACHER,PROFESSOR,2.6
204,Music,4002,Vanderbilt University,Mat,,Britain,840324,3,good,TEACHER,PROFESSOR,5.0
205,Biology,4002,Vanderbilt University,Kendal,,Broadie,359640,88,good,TEACHER,PROFESSOR,3.8
206,Philosophy,4002,Vanderbilt University,Michael,,Brodrick,1494107,2,good,TEACHER,PROFESSOR,5.0
207,Psychology,4002,Vanderbilt University,Penelope (Penny),,Brooks,1022254,6,average,TEACHER,PROFESSOR,3.1
208,Mathematics,4002,Vanderbilt University,Arnaud,,Brothier,1922762,5,average,TEACHER,PROFESSOR,2.7
209,International Studies,4002,Vanderbilt University,Abby,,Broughton,2220862,2,good,TEACHER,PROFESSOR,3.5
210,Sociology,4002,Vanderbilt University,Tony,,Brown,543004,11,good,TEACHER,PROFESSOR,3.8
211,Sociology,4002,Vanderbilt University,Tyson,,Brown,1490646,3,good,TEACHER,PROFESSOR,3.8
212,Health Science,4002,Vanderbilt University,Lauren,,Brown,2558426,0,zero,TEACHER,PROFESSOR,N/A
213,Languages,4002,Vanderbilt University,Jacob,,Brown,2443832,4,good,TEACHER,PROFESSOR,5.0
214,Mathematics,4002,Vanderbilt University,Cameron,,Browne,1875747,4,poor,TEACHER,PROFESSOR,1.6
215,Engineering,4002,Vanderbilt University,Ralph,,Bruce,1774877,2,average,TEACHER,PROFESSOR,2.8
216,Mathematics,4002,Vanderbilt University,Derek,,Bruff,970074,19,good,TEACHER,PROFESSOR,4.3
217,Human Development,4002,Vanderbilt University,Rokeisha,,Bryant,2280409,2,good,TEACHER,PROFESSOR,3.5
218,Classics,4002,Vanderbilt University,Ari,Z,Bryen,2202257,13,good,TEACHER,PROFESSOR,4.8
219,Chemistry,4002,Vanderbilt University,Lauren,Elizabeth,Buchanan,2331459,7,good,TEACHER,PROFESSOR,4.1
220,Engineering,4002,Vanderbilt University,Amanda,,Buck,1917535,1,good,TEACHER,PROFESSOR,4.5
221,Music,4002,Vanderbilt University,Steve,,Buckingham,1892046,3,good,TEACHER,PROFESSOR,4.5
222,Economics,4002,Vanderbilt University,Stephen,,Buckles,126728,304,average,TEACHER,PROFESSOR,3.4
223,Nursing,4002,Vanderbilt University,Amy,,Bull,1622043,0,zero,TEACHER,PROFESSOR,N/A
224,Anthropology,4002,Vanderbilt University,John,,Bunce,1725191,2,good,TEACHER,PROFESSOR,4.8
225,Philosophy,4002,Vanderbilt University,Adam,,Burgos,2092859,1,good,TEACHER,PROFESSOR,4.0
226,Mathematics,4002,Vanderbilt University,Richard,,Burstein,1490305,4,poor,TEACHER,PROFESSOR,1.5
227,Languages,4002,Vanderbilt University,Jamie,,Butler,1628801,5,poor,TEACHER,PROFESSOR,2.1
228,Communication,4002,Vanderbilt University,Neil,,Butt,1675044,6,average,TEACHER,PROFESSOR,3.3
229,Engineering,4002,Vanderbilt University,Curtis,,Byers,2251177,2,good,TEACHER,PROFESSOR,5.0
230,Engineering,4002,Vanderbilt University,Brett,,Byram,2371700,4,good,TEACHER,PROFESSOR,4.8
231,History,4002,Vanderbilt University,Brandon,,Byrd,2189699,11,average,TEACHER,PROFESSOR,3.4
232,Mathematics,4002,Vanderbilt University,Julio,,Cáceres Gonzales,2667354,1,good,TEACHER,PROFESSOR,5.0
233,History,4002,Vanderbilt University,William,,Caferro,141521,43,good,TEACHER,PROFESSOR,4.5
234,Mechanical Engineering,4002,Vanderbilt University,Joshua,David,Caldwell,2322362,2,good,TEACHER,PROFESSOR,5.0
235,Mathematics,4002,Vanderbilt University,Matthew,,Calef,1232313,2,good,TEACHER,PROFESSOR,4.8
236,Biology,4002,Vanderbilt University,Lisa,,Calfee,1767809,1,poor,TEACHER,PROFESSOR,2.0
237,Music,4002,Vanderbilt University,Joy,,Calico,328424,19,good,TEACHER,PROFESSOR,4.0
238,Anthropology,4002,Vanderbilt University,Celina,,Callahan-Kapoor,2212356,24,good,TEACHER,PROFESSOR,4.0
239,Languages,4002,Vanderbilt University,Denise,,Callejas,1394950,5,good,TEACHER,PROFESSOR,4.5
240,Mathematics,4002,Vanderbilt University,Alexander,,Cameron,2433869,5,good,TEACHER,PROFESSOR,4.8
241,Engineering,4002,Vanderbilt University,Janey,,Camp,1696890,0,zero,TEACHER,PROFESSOR,N/A
242,Asian Studies,4002,Vanderbilt University,Rob,,Campany,1884162,10,poor,TEACHER,PROFESSOR,2.1
243,Religion,4002,Vanderbilt University,Robert,,Campany,2448038,1,good,TEACHER,PROFESSOR,5.0
244,Sociology,4002,Vanderbilt University,Karen,,Campbell,349809,14,good,TEACHER,PROFESSOR,3.5
245,Astronomy,4002,Vanderbilt University,Lauren,,Campbell,2242000,3,good,TEACHER,PROFESSOR,4.7
246,Mathematics,4002,Vanderbilt University,Jonathan,A.,Campbell,2247852,13,good,TEACHER,PROFESSOR,3.9
247,Art,4002,Vanderbilt University,Maria,Magdalena,Campos-Pons,2482320,0,zero,TEACHER,PROFESSOR,N/A
248,Economics,4002,Vanderbilt University,Neil,,Canaday,1052121,4,average,TEACHER,PROFESSOR,2.8
249,Human Development,4002,Vanderbilt University,Christopher,,Candelaria,2354007,2,good,TEACHER,PROFESSOR,4.5
